,Sol,avg_duration,avg_peak,flare_count,aurora_count,target,BZ_nT_GSE,BZ_nT_GSM,SW_Plasma_Speed_kms,Kp_index,R_Sunspot_No,Dst_index_nT,f10_7_index,AE_index_nT
0,2015-01-01,13.333333333333334,4.333333333333333,3,1,1,-0.5,-0.6,498.0,13,104,-11,132.9,99
1,2015-01-02,4.5,2.5,6,7,1,-1.9,-2.1,419.0,23,122,-17,141.0,251
2,2015-01-03,18.0,11.272727272727273,11,2,1,1.4,1.4,447.0,23,102,-26,143.8,138
3,2015-01-04,27.666666666666668,14.0,6,6,1,-4.4,-4.4,410.0,30,105,-44,144.8,439
4,2015-01-05,12.0,8.5,6,2,1,0.6,0.3,494.0,27,88,-41,137.2,244
5,2015-01-06,12.833333333333334,7.833333333333333,6,0,0,3.2,2.9,490.0,27,89,-34,137.2,158
6,2015-01-07,20.285714285714285,8.571428571428571,7,6,1,2.4,2.3,450.0,33,103,-50,142.4,276
7,2015-01-08,11.4,6.8,5,0,0,-0.1,0.0,469.0,27,99,-46,152.0,189
8,2015-01-09,24.0,13.0,5,0,0,-0.1,0.2,457.0,17,111,-35,146.2,118
9,2015-01-10,19.8,12.8,5,1,1,-0.2,0.3,426.0,20,106,-25,146.9,155
10,2015-01-11,60.666666666666664,37.333333333333336,9,0,0,-0.9,-0.1,482.0,23,122,-29,148.6,183
11,2015-01-12,25.714285714285715,10.285714285714286,7,0,0,-0.1,0.3,434.0,17,124,-26,153.4,136
12,2015-01-13,17.0,7.25,4,0,0,-0.5,-0.0,425.0,20,101,-21,999.9,139
13,2015-01-14,21.2,12.7,10,0,0,-0.2,0.7,394.0,17,80,-19,137.2,106
14,2015-01-15,28.8,12.6,5,0,0,1.1,1.9,400.0,10,59,-14,127.1,91
15,2015-01-16,35.0,12.0,1,0,0,-0.9,-0.2,382.0,17,52,-16,120.7,132
16,2015-01-18,13.5,6.0,2,1,1,-0.6,-0.2,326.0,10,68,-10,121.7,81
17,2015-01-19,9.75,5.25,4,1,1,-1.0,-0.5,306.0,10,66,-8,125.9,89
18,2015-01-20,21.333333333333332,12.0,3,0,0,1.8,2.5,295.0,3,56,-5,121.6,58
19,2015-01-21,15.571428571428571,12.428571428571429,7,0,0,3.5,2.2,383.0,23,43,6,120.0,126
20,2015-01-22,11.875,5.75,8,0,0,1.5,0.3,461.0,27,50,-17,116.6,199
21,2015-01-23,10.375,4.75,8,0,0,-0.0,-0.7,423.0,20,60,-15,117.3,135
22,2015-01-24,10.0,4.857142857142857,7,1,1,-0.3,-0.9,374.0,13,59,-13,121.4,124
23,2015-01-25,12.2,7.2,5,0,0,-0.7,-1.6,347.0,13,62,-7,122.7,88
24,2015-01-26,24.125,15.0,8,1,1,-1.7,-2.7,359.0,30,109,-21,142.5,257
25,2015-01-27,25.4,9.4,5,1,1,0.2,-0.7,451.0,27,126,-17,153.3,197
26,2015-01-28,22.571428571428573,12.714285714285714,7,1,1,0.5,-0.3,446.0,17,141,-15,154.5,144
27,2015-01-29,13.055555555555555,7.666666666666667,18,0,0,0.4,-0.9,392.0,20,146,-11,166.7,167
28,2015-01-30,22.857142857142858,9.571428571428571,7,1,1,0.2,-0.4,410.0,20,153,-20,154.6,179
29,2015-01-31,17.25,6.75,4,0,0,-1.1,-1.8,418.0,20,138,-19,149.0,180
30,2015-02-01,43.0,20.125,8,0,0,0.9,0.7,542.0,33,113,-15,137.6,233
31,2015-02-02,15.333333333333334,7.333333333333333,3,4,1,-0.6,-1.3,658.0,40,93,-34,139.8,382
32,2015-02-03,18.6,6.8,5,1,1,0.1,-0.4,597.0,30,89,-24,145.1,230
33,2015-02-04,24.333333333333332,13.333333333333334,3,0,0,-0.7,-1.1,477.0,20,96,-19,150.1,168
34,2015-02-05,13.333333333333334,6.333333333333333,3,0,0,-1.5,-1.0,413.0,23,93,-11,138.0,206
35,2015-02-06,21.333333333333332,10.333333333333334,3,0,0,0.5,1.6,423.0,13,89,-12,139.3,72
36,2015-02-07,24.5,15.75,4,0,0,-1.0,-0.0,407.0,20,76,-19,148.9,181
37,2015-02-08,34.666666666666664,16.666666666666668,3,1,1,-1.3,0.0,492.0,23,84,-22,148.7,178
38,2015-02-09,38.75,24.5,4,0,0,-0.3,0.5,428.0,17,88,-16,141.9,120
39,2015-02-10,31.5,15.5,2,0,0,-0.6,0.3,382.0,13,84,-15,137.3,95
40,2015-02-11,29.0,16.5,2,0,0,0.4,1.6,374.0,13,60,-12,127.7,93
41,2015-02-12,5.0,3.0,1,0,0,-0.7,-0.1,345.0,10,51,-9,124.4,108
42,2015-02-13,8.0,8.0,1,0,0,0.2,1.4,330.0,3,62,-6,121.8,44
43,2015-02-14,9.5,5.0,2,0,0,1.1,2.4,322.0,3,53,3,117.4,39
44,2015-02-15,10.0,5.0,1,0,0,2.4,1.0,325.0,17,65,-2,116.7,101
45,2015-02-16,18.0,12.0,1,3,1,3.7,3.0,338.0,13,41,3,115.3,76
46,2015-02-18,20.0,15.0,1,1,1,-0.5,-1.8,434.0,30,87,-46,118.2,286
47,2015-02-19,25.0,14.0,2,0,0,-0.1,-1.0,391.0,20,89,-26,116.0,149
48,2015-02-20,29.5,13.0,4,0,0,0.1,-1.3,350.0,13,64,-18,117.0,142
49,2015-02-21,81.0,30.0,1,0,0,0.8,-0.5,335.0,17,58,-14,113.6,116
50,2015-02-22,60.0,19.0,1,0,0,-0.7,-2.0,318.0,17,43,-9,115.0,118
51,2015-02-23,16.6,8.6,5,0,0,-1.8,-1.7,384.0,30,46,-20,114.3,293
52,2015-02-24,92.33333333333333,41.333333333333336,3,3,1,-0.6,1.1,469.0,33,44,-36,112.1,330
53,2015-02-26,16.5,8.5,2,0,0,-1.0,-0.7,410.0,10,22,-12,109.1,81
54,2015-02-27,34.0,28.0,2,0,0,0.7,0.6,345.0,3,58,2,115.7,44
55,2015-02-28,16.2,12.0,5,2,1,-1.0,-2.3,378.0,23,60,-4,121.1,246
56,2015-03-01,61.0,61.0,1,16,1,-0.0,-1.8,517.0,33,65,-36,125.3,289
57,2015-03-02,21.4,14.8,5,4,1,-0.7,-2.0,572.0,37,52,-40,128.1,376
58,2015-03-03,16.0,16.0,1,0,0,-0.2,-1.0,498.0,23,42,-26,122.9,248
59,2015-03-04,27.0,20.0,5,1,1,0.8,1.1,465.0,20,37,-14,122.1,132
60,2015-03-05,45.25,39.75,4,0,0,0.5,1.2,446.0,13,26,-9,137.9,107
61,2015-03-06,7.0,4.5,2,0,0,0.0,2.1,469.0,23,35,-11,125.4,162
62,2015-03-07,21.333333333333332,3.0,3,0,0,-0.5,0.0,539.0,37,17,-18,135.7,320
63,2015-03-09,14.75,9.0,4,0,0,0.1,1.0,455.0,10,23,-12,121.2,74
64,2015-03-10,11.333333333333334,8.0,6,0,0,0.2,1.5,380.0,10,27,-5,119.2,68
65,2015-03-11,21.571428571428573,10.142857142857142,7,0,0,-0.9,0.4,385.0,20,44,-7,129.9,168
66,2015-03-12,16.0,7.5625,16,1,1,0.2,1.0,401.0,17,56,-14,125.1,175
67,2015-03-13,20.375,10.25,8,1,1,1.0,2.4,401.0,13,76,-7,117.9,81
68,2015-03-14,13.066666666666666,7.133333333333334,15,0,0,-0.4,0.8,338.0,13,55,-6,114.3,90
69,2015-03-15,23.0,16.9,10,0,0,-0.6,-0.3,318.0,17,53,-5,113.1,169
70,2015-03-16,20.555555555555557,17.22222222222222,9,0,0,5.3,5.1,380.0,23,46,9,116.0,97
71,2015-03-17,21.666666666666668,19.0,3,57,1,-6.0,-6.2,532.0,60,38,-84,113.2,633
72,2015-03-18,12.666666666666666,8.666666666666666,3,55,1,1.8,-1.1,595.0,50,41,-117,113.7,488
73,2015-03-19,17.25,11.75,4,14,1,-0.3,-0.9,601.0,37,49,-78,108.3,410
74,2015-03-20,27.0,21.5,2,5,1,0.0,-0.6,570.0,37,20,-64,111.8,337
75,2015-03-21,41.0,17.25,4,2,1,2.3,1.6,626.0,23,26,-48,112.7,222
76,2015-03-22,12.5,6.0,2,0,0,1.2,1.9,634.0,30,81,-46,121.5,235
77,2015-03-23,17.666666666666668,12.333333333333334,3,0,0,-0.6,0.4,587.0,33,99,-42,127.2,296
78,2015-03-24,12.0,4.5,2,0,0,0.3,1.0,532.0,23,108,-33,132.2,174
79,2015-03-25,17.375,10.375,8,0,0,0.6,1.2,546.0,27,99,-24,137.0,158
80,2015-03-26,16.88888888888889,9.777777777777779,9,0,0,0.1,0.4,451.0,20,105,-21,135.5,142
81,2015-03-27,7.8,3.8,5,1,1,0.6,-0.6,406.0,20,101,-25,137.2,182
82,2015-03-28,21.333333333333332,11.777777777777779,9,0,0,5.4,3.4,403.0,20,81,-20,145.1,143
83,2015-03-29,17.5,5.5,4,0,0,1.8,-2.0,373.0,23,72,-32,144.0,250
84,2015-03-30,30.0,18.666666666666668,6,0,0,1.3,-0.3,333.0,10,51,-25,133.3,81
85,2015-03-31,230.0,86.0,1,0,0,5.1,4.9,370.0,20,38,-11,127.8,93
86,2015-04-02,49.333333333333336,28.333333333333332,3,0,0,0.2,1.8,428.0,23,35,-13,121.2,237
87,2015-04-03,59.0,30.0,2,0,0,1.7,3.0,524.0,27,35,-18,119.8,140
88,2015-04-04,64.125,32.375,8,0,0,0.7,1.3,526.0,23,54,-19,122.4,176
89,2015-04-05,49.5,24.5,2,0,0,0.8,1.6,545.0,17,55,-11,122.3,105
90,2015-04-06,39.0,31.0,1,0,0,0.0,0.5,482.0,13,53,-13,125.8,94
91,2015-04-07,29.0,8.0,1,0,0,0.1,0.8,404.0,10,51,-8,111.4,69
92,2015-04-08,7.0,5.0,1,0,0,0.8,1.1,344.0,7,43,-3,106.3,63
93,2015-04-09,12.777777777777779,7.333333333333333,9,1,1,-1.6,0.4,363.0,27,47,-4,111.6,173
94,2015-04-10,16.2,10.8,5,7,1,1.2,1.2,404.0,40,41,-40,115.5,327
95,2015-04-11,30.333333333333332,17.0,6,5,1,-4.7,-3.5,366.0,30,59,-63,123.5,484
96,2015-04-12,24.833333333333332,14.0,12,0,0,2.1,1.5,344.0,7,86,-25,134.6,75
97,2015-04-13,9.444444444444445,6.0,9,0,0,0.1,-0.3,335.0,13,103,-13,142.1,122
98,2015-04-14,103.0,46.0,1,0,0,-0.5,-0.8,319.0,23,105,-13,147.7,267
99,2015-04-15,14.0,8.5,2,0,0,1.3,0.8,473.0,37,96,-38,155.7,333
100,2015-04-16,34.0,22.333333333333332,6,0,0,-1.3,-2.6,599.0,47,100,-60,151.3,643
101,2015-04-17,15.166666666666666,9.833333333333334,6,0,0,0.5,-0.1,647.0,33,117,-56,150.8,350
102,2015-04-18,23.5,11.75,4,0,0,0.2,-0.1,545.0,23,140,-31,148.9,225
103,2015-04-19,29.75,16.75,4,3,1,-1.4,-1.9,424.0,20,137,-30,153.0,259
104,2015-04-20,44.666666666666664,19.0,3,1,1,0.6,1.4,401.0,23,128,-12,151.0,178
105,2015-04-21,19.363636363636363,9.454545454545455,11,1,1,-0.3,0.7,556.0,37,127,-28,155.3,366
106,2015-04-22,14.9,7.3,10,1,1,-0.1,0.6,535.0,23,138,-21,151.8,208
107,2015-04-23,14.9,10.0,10,0,0,0.6,1.0,442.0,13,117,-15,142.0,85
108,2015-04-24,24.2,12.6,10,0,0,-0.5,-0.5,380.0,7,83,-17,136.0,85
109,2015-04-25,46.0,23.5,2,0,0,0.7,1.0,341.0,0,69,-6,127.4,44
110,2015-04-26,15.2,9.0,5,0,0,1.1,1.5,309.0,3,65,0,120.0,52
111,2015-04-28,9.0,6.0,1,0,0,-0.9,-1.7,313.0,13,41,-21,109.2,182
112,2015-04-29,21.0,10.0,2,0,0,-0.4,-1.6,298.0,10,30,-12,105.5,118
113,2015-04-30,115.0,71.0,3,0,0,0.7,1.6,322.0,10,15,-5,103.3,92
114,2015-05-01,12.5,6.0,2,0,0,1.1,2.3,387.0,13,19,-4,101.4,73
115,2015-05-02,13.0,7.0,5,0,0,0.1,1.4,408.0,17,34,-4,107.3,117
116,2015-05-03,23.125,12.875,8,0,0,-0.2,0.6,385.0,17,44,-12,112.9,136
117,2015-05-04,14.0,7.8,10,0,0,0.1,0.7,374.0,17,103,-9,125.4,102
118,2015-05-05,13.136363636363637,6.863636363636363,22,0,0,0.3,0.4,366.0,13,104,-8,130.0,159
119,2015-05-06,9.9,5.3,10,0,0,-0.2,1.6,443.0,33,124,-15,138.6,383
120,2015-05-07,14.75,6.75,8,0,0,6.5,6.9,412.0,17,145,-11,149.2,48
121,2015-05-08,15.11111111111111,8.333333333333334,9,0,0,0.3,-0.6,383.0,13,150,-9,152.6,155
122,2015-05-09,31.0,13.8,5,0,0,1.2,1.1,386.0,17,139,2,157.5,76
123,2015-05-10,23.285714285714285,13.0,7,1,1,-2.6,-1.0,369.0,20,163,-15,163.1,246
124,2015-05-11,17.714285714285715,8.857142857142858,7,0,0,-4.2,-3.7,355.0,27,163,-39,166.2,522
125,2015-05-12,29.5,15.75,4,1,1,-2.1,-2.6,364.0,30,165,-33,166.5,449
126,2015-05-13,26.4,16.8,5,16,1,-0.5,-1.6,638.0,50,172,-60,160.3,615
127,2015-05-14,25.333333333333332,16.555555555555557,9,0,0,1.2,0.9,663.0,20,164,-31,148.2,181
128,2015-05-15,10.75,6.0,8,0,0,-0.0,-0.3,530.0,17,124,-23,139.5,215
129,2015-05-16,20.0,11.0,1,0,0,0.1,-0.4,446.0,13,103,-16,134.0,165
130,2015-05-17,10.0,4.666666666666667,3,0,0,1.4,1.4,387.0,13,89,-8,122.3,122
131,2015-05-18,15.0,9.0,4,0,0,2.2,3.0,384.0,23,101,-5,117.6,174
132,2015-05-19,23.6,9.6,5,2,1,2.5,3.8,505.0,23,77,-27,112.9,172
133,2015-05-20,23.428571428571427,12.285714285714286,7,1,1,-0.8,-0.6,458.0,17,59,-21,108.2,186
134,2015-05-21,24.375,10.625,8,0,0,-0.8,-0.2,403.0,3,50,-15,104.3,71
135,2015-05-22,46.6,20.6,5,0,0,0.6,0.9,372.0,3,73,-8,101.6,57
136,2015-05-23,8.375,5.5,8,0,0,-0.1,-0.2,333.0,7,72,2,100.2,62
137,2015-05-25,46.5,25.5,2,0,0,0.4,0.2,320.0,3,67,1,99.0,58
138,2015-05-26,28.375,10.875,8,0,0,-0.3,-0.1,311.0,13,53,3,97.0,148
139,2015-05-27,24.25,12.75,4,0,0,-0.5,-0.2,297.0,10,14,-2,97.8,146
140,2015-05-28,29.0,14.5,2,0,0,0.1,0.4,322.0,17,12,-2,95.5,146
141,2015-05-30,16.333333333333332,8.666666666666666,3,0,0,0.6,1.1,392.0,10,31,7,97.7,76
142,2015-05-31,27.25,12.0,4,0,0,-0.9,-0.2,362.0,10,29,2,97.0,99
143,2015-06-01,13.0,7.0,1,0,0,0.0,0.3,339.0,17,27,-3,103.2,175
144,2015-06-02,15.25,6.5,4,0,0,3.0,3.3,330.0,3,44,5,103.9,52
145,2015-06-03,72.0,52.0,2,0,0,0.8,1.3,315.0,7,49,6,111.6,72
146,2015-06-04,47.4,20.0,5,0,0,0.8,1.1,278.0,3,80,8,121.4,65
147,2015-06-05,26.0,12.2,5,0,0,0.6,0.9,280.0,3,90,13,129.7,52
148,2015-06-06,36.25,21.0,4,0,0,0.8,1.1,307.0,10,109,19,136.6,89
149,2015-06-07,20.0,8.0,6,0,0,3.7,3.5,327.0,17,124,18,141.4,131
150,2015-06-08,7.0,3.5,2,2,1,-1.2,-1.8,556.0,43,112,-35,138.2,496
151,2015-06-09,19.0,12.0,2,0,0,0.1,0.0,627.0,27,92,-27,140.6,336
152,2015-06-10,37.54545454545455,18.727272727272727,11,0,0,0.2,-0.0,634.0,27,93,-19,139.5,358
153,2015-06-11,15.65,10.0,20,0,0,-0.2,-0.3,573.0,20,95,-18,144.2,249
154,2015-06-12,11.11111111111111,7.222222222222222,9,0,0,0.0,0.1,478.0,17,98,0,141.0,131
155,2015-06-13,16.0,10.666666666666666,15,0,0,-0.8,-0.8,484.0,23,97,-7,140.3,252
156,2015-06-14,56.42857142857143,29.714285714285715,7,2,1,1.0,1.2,528.0,30,90,-11,135.8,339
157,2015-06-15,15.6,8.4,5,0,0,-1.2,-1.0,563.0,27,54,-17,139.1,393
158,2015-06-16,42.111111111111114,28.88888888888889,9,0,0,0.2,0.5,512.0,23,70,-16,140.5,257
159,2015-06-17,25.75,16.5,4,0,0,-0.9,-0.9,487.0,27,80,-26,140.2,429
160,2015-06-18,42.09090909090909,22.636363636363637,11,0,0,-0.4,-0.3,422.0,17,77,-16,155.7,184
161,2015-06-19,23.333333333333332,13.833333333333334,6,0,0,-0.2,-0.3,363.0,7,68,-12,141.8,121
162,2015-06-20,40.25,22.25,4,0,0,0.2,0.3,301.0,3,64,-2,139.8,51
163,2015-06-21,38.5,21.4,10,0,0,0.7,0.8,304.0,13,61,14,136.0,72
164,2015-06-22,44.5,27.5,6,3,1,0.4,0.8,457.0,43,56,-17,255.0,560
165,2015-06-23,14.666666666666666,9.0,3,37,1,-1.9,-1.7,627.0,53,45,-127,119.9,555
166,2015-06-24,17.6,10.0,5,2,1,-0.3,-0.4,615.0,30,36,-64,113.1,345
167,2015-06-25,26.666666666666668,8.0,3,3,1,-0.7,-0.4,602.0,40,27,-54,105.2,456
168,2015-06-26,6.666666666666667,3.8333333333333335,12,0,0,-0.8,-0.7,518.0,17,23,-48,104.6,189
169,2015-06-27,19.0,7.5,2,0,0,1.3,1.2,578.0,20,21,-32,100.5,144
170,2015-06-28,7.8,4.4,5,0,0,-0.9,-1.1,454.0,27,32,-38,100.5,313
171,2015-06-29,18.285714285714285,10.571428571428571,7,0,0,2.0,1.9,401.0,13,39,-23,100.4,98
172,2015-06-30,29.6,14.6,5,0,0,0.2,0.1,379.0,13,41,-12,104.2,104
173,2015-07-01,29.0,21.0,2,0,0,0.7,0.5,390.0,10,54,-15,113.3,103
174,2015-07-02,83.33333333333333,42.833333333333336,6,0,0,0.0,-0.1,365.0,3,75,-15,117.6,73
175,2015-07-03,12.5,6.9,10,0,0,0.9,0.6,319.0,3,88,-5,116.1,61
176,2015-07-04,15.0,7.0,3,0,0,0.1,0.3,373.0,23,99,-2,120.7,278
177,2015-07-05,27.6,12.4,5,0,0,-0.6,-0.2,497.0,33,109,-53,129.0,346
178,2015-07-06,13.416666666666666,8.083333333333334,12,0,0,-0.8,-0.4,499.0,20,97,-40,137.9,285
179,2015-07-07,23.0,12.0,7,0,0,-0.1,0.2,448.0,10,112,-27,137.1,111
180,2015-07-08,10.0,6.0,1,0,0,-1.3,-0.9,388.0,10,123,-20,133.2,161
181,2015-07-09,15.0,6.5,2,0,0,-0.7,-0.5,366.0,10,110,-13,126.0,132
182,2015-07-10,8.0,4.0,3,0,0,-0.3,-0.0,341.0,13,103,-5,133.3,98
183,2015-07-11,14.0,7.5,2,0,0,0.5,-0.3,580.0,37,92,-23,124.3,344
184,2015-07-12,28.0,16.5,2,0,0,-0.1,-0.3,590.0,27,71,-24,119.9,312
185,2015-07-13,5.0,3.0,1,1,1,-3.4,-3.7,546.0,40,53,-50,113.8,667
186,2015-07-14,55.833333333333336,17.0,6,0,0,2.2,2.6,453.0,13,43,-29,108.7,133
187,2015-07-16,20.0,11.0,1,0,0,0.4,-0.0,493.0,17,50,-24,102.9,216
188,2015-07-17,12.0,6.0,1,0,0,0.0,-0.4,420.0,10,50,-19,100.6,133
189,2015-07-18,24.0,14.0,1,0,0,-0.1,-0.5,338.0,7,58,-13,99.1,94
190,2015-07-19,227.5,86.5,2,0,0,0.0,-0.3,304.0,3,44,-5,102.6,64
191,2015-07-20,36.0,16.5,4,0,0,1.0,0.4,292.0,7,36,3,96.3,120
192,2015-07-21,33.0,14.0,2,0,0,2.4,1.5,368.0,20,36,1,94.0,157
193,2015-07-22,7.0,3.0,1,0,0,1.0,0.0,354.0,17,36,-4,91.9,163
194,2015-07-24,16.333333333333332,8.222222222222221,9,0,0,0.3,-0.3,424.0,13,31,-32,95.2,171
195,2015-07-26,6.25,4.0,4,0,0,1.2,0.2,423.0,17,40,-25,100.1,171
196,2015-07-27,24.333333333333332,7.0,3,0,0,0.6,-0.1,471.0,20,51,-19,103.2,263
197,2015-07-28,9.0,4.0,1,0,0,-0.6,-0.9,443.0,17,62,-22,104.2,245
198,2015-07-30,25.0,18.0,1,0,0,-1.0,-0.9,364.0,23,76,-6,105.1,220
199,2015-07-31,13.0,7.0,1,0,0,0.1,1.6,491.0,27,69,-20,103.8,290
200,2015-08-01,12.8,7.2,5,0,0,0.5,1.3,557.0,20,64,-12,106.0,169
201,2015-08-02,30.0,16.571428571428573,7,0,0,-0.5,0.2,575.0,23,53,-16,104.5,214
202,2015-08-03,19.0,11.0,1,0,0,-0.0,0.5,498.0,17,61,-10,108.7,139
203,2015-08-04,15.0,5.0,1,0,0,-0.8,-0.1,440.0,17,90,-7,109.9,171
204,2015-08-05,8.5,4.333333333333333,6,0,0,-0.0,0.3,394.0,10,94,-5,115.5,107
205,2015-08-06,21.0,12.25,4,0,0,0.5,-1.0,484.0,23,108,-9,125.1,279
206,2015-08-07,17.642857142857142,10.142857142857142,14,2,1,0.7,-0.5,519.0,30,112,-19,125.5,356
207,2015-08-08,21.8,12.4,5,5,1,1.0,-0.6,493.0,23,93,-23,124.4,340
208,2015-08-09,53.0,22.0,1,1,1,-0.0,-0.6,514.0,23,76,-18,117.6,292
209,2015-08-10,7.0,5.0,2,0,0,0.4,-0.4,497.0,20,69,-19,109.1,275
210,2015-08-11,9.0,5.714285714285714,7,0,0,0.1,-1.2,422.0,17,78,-17,105.6,196
211,2015-08-12,74.0,31.5,2,0,0,0.0,-1.3,395.0,23,66,-16,101.9,287
212,2015-08-13,16.5,8.5,6,0,0,-2.6,-2.9,378.0,20,55,-31,97.3,346
213,2015-08-14,10.333333333333334,6.666666666666667,6,0,0,3.3,1.9,341.0,7,46,-12,95.7,63
214,2015-08-15,41.666666666666664,24.833333333333332,6,0,0,-0.2,-2.1,426.0,40,39,-35,91.7,435
215,2015-08-16,15.0,9.0,2,5,1,0.2,-1.8,517.0,40,38,-61,87.8,562
216,2015-08-17,9.0,5.0,1,1,1,-1.0,-1.7,554.0,37,33,-45,89.2,507
217,2015-08-19,36.0,20.0,1,4,1,-1.1,-2.9,467.0,33,50,-40,100.6,469
218,2015-08-20,24.47,13.9,10,0,0,1.9,0.7,482.0,27,65,-23,105.3,245
219,2015-08-21,29.25,19.125,8,0,0,0.8,0.2,458.0,13,73,-16,121.4,104
220,2015-08-22,16.333333333333332,11.666666666666666,15,0,0,-0.5,-0.8,383.0,20,71,-20,119.6,238
221,2015-08-23,16.666666666666668,8.833333333333334,6,0,0,-0.9,-2.0,489.0,37,81,-30,136.1,375
222,2015-08-24,8.263157894736842,4.894736842105263,19,0,0,0.0,-0.5,464.0,17,81,-24,130.6,183
223,2015-08-25,10.947368421052632,6.2631578947368425,19,0,0,-0.8,-1.9,397.0,20,69,-21,123.9,272
224,2015-08-26,10.0,8.5,2,1,1,-3.5,-5.6,398.0,40,47,-45,128.9,666
225,2015-08-27,27.4,20.0,5,3,1,-6.6,-7.9,358.0,50,55,-79,112.5,761
226,2015-08-28,14.210526315789474,8.052631578947368,19,8,1,-8.3,-6.0,360.0,47,44,-76,111.3,638
227,2015-08-29,36.666666666666664,23.0,6,0,0,-0.1,1.2,452.0,27,56,-34,102.1,218
228,2015-08-30,43.0,42.0,3,0,0,-0.1,0.8,424.0,10,56,-21,93.4,78
229,2015-08-31,23.5,19.0,2,0,0,-0.7,0.7,386.0,10,35,-16,92.7,79
230,2015-09-02,10.0,5.0,1,0,0,0.5,0.6,382.0,17,36,-6,89.8,127
231,2015-09-03,21.428571428571427,7.571428571428571,7,0,0,-0.3,-1.4,421.0,17,29,-9,88.0,202
232,2015-09-04,126.5,77.5,2,1,1,0.7,-1.7,470.0,33,37,-32,91.5,395
233,2015-09-05,8.0,4.0,2,0,0,0.7,-0.4,466.0,27,27,-20,86.8,236
234,2015-09-11,13.857142857142858,6.714285714285714,7,4,1,0.5,-0.4,557.0,50,81,-48,94.1,474
235,2015-09-13,11.666666666666666,4.333333333333333,3,0,0,-0.3,-1.2,463.0,23,83,-31,100.0,293
236,2015-09-14,7.6,4.4,5,0,0,0.9,-0.5,466.0,27,56,-29,97.7,273
237,2015-09-15,8.636363636363637,5.181818181818182,11,2,1,0.7,-0.4,494.0,30,68,-29,102.2,335
238,2015-09-16,34.27272727272727,24.454545454545453,11,0,0,0.3,-0.4,479.0,23,86,-20,110.6,194
239,2015-09-17,13.941176470588236,7.705882352941177,17,0,0,0.5,-0.5,453.0,20,75,-23,107.9,212
240,2015-09-18,78.875,47.125,8,0,0,-1.0,-2.4,420.0,27,71,-24,103.8,312
241,2015-09-19,36.666666666666664,27.333333333333332,3,0,0,-0.2,0.5,415.0,27,64,-20,106.7,252
